servo1,servo23,servo45,servo6,servo7,speed,delay,keterangan
510,336,426," 687",512,50,1,pose
510,506,800,530,512,50,2,pose1
672,333,471,642,512,50,1,pose2
672,333,471,479,512,50,1,pose3
672,333,471,754,512,50,1,pose4
672,333,471,479,512,50,1,pose
672,333,471,754,512,50,1,pose
268,506,800,530,512,50,2,pose5
268,333,471,642,512,50,1,pose6
268,333,471,479,512,50,1,pose7
268,333,471,754,512,50,1,pose4
268,333,471,479,512,50,1,pose
268,333,471,754,512,50,1,pose
510,333,471,754,512,50,2,pose
510,369,697,718,512,50,2,pose
510,275,353,605,512,50,3,pose
510,369,697,718,512,50,3,pose
510,275,353,605,512,50,3,pose
802,275,353,605,512,50,2,pose
802,212,503,800,512,50,1,pose
802,311,608,782,512,50,1,pose
802,212,503,800,512,50,1,pose
802,311,608,782,512,50,1,pose
802,212,503,800,512,50,1,pose
179,212,503,800,512,125,2,pose
179,212,503,800,512,50,1,pose
179,311,608,782,512,50,1,pose
179,212,503,800,512,50,1,pose
179,311,608,782,512,50,1,pose
179,212,503,800,512,50,1,pose
510,336,426,687,512,100,1,pose
510,505,520,529,512,50,1,pose
510,505,420,714,512,100,1,pose
510,505,420,440,512,100,1,pose
510,336,426,687,512,150,1,pose
694,333,422,728,512,100,1,pose
694,333,422,556,512,100,1,pose
433,333,422,440,512,100,1,pose
433,333,422,440,512,100,1,pose
510,336,426,600,512,100,1,pose
510,336,353,800,512,100,1,pose
510,336,426,600,512,100,1,pose
510,336,353,800,512,100,1,pose
510,336,426,600,512,100,1,pose
291,336,426,479,512,50,1,pose
291,336,426,754,512,50,1,pose
675,336,426,754,512,50,1,pose
675,336,426,754,512,50,1,pose
494,375,444,514,512,100,1,pose
494,375,444,758,512,100,1,pose